Timestamp,initials_extractor,study_id,ocp
08/12/2022 2:00,km,s_039,"Dichlorodiphenyltrichloroethane (DDT), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), Dichlorodiphenyldichloroethylene (DDE), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), Dieldrin, Chlordane, Oxychlordane, Mirex, Hexachlorobenzene, nonachlore"
08/12/2022 2:29,km,s_040,"Heptachlor, Chlordane, Oxychlordane, trans-Nonachlor"
08/12/2022 3:00,km,s_041,"Dichlorodiphenyltrichloroethane (DDT), Methoxychlor"
08/12/2022 21:05,km,s_042,"p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
08/12/2022 21:34,km,s_043,"Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE), Lindane, Heptachlor, Oxychlordane, Hexachlorobenzene, trans-Nonachlor"
12/12/2022 6:09,km,s_044,"alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), o,p-Dichlorodiphenyldichloroethylene (o,p-DDE), p,p-Dichlorodiphenyldichloroethane (p,p-DDD), o,p-Dichlorodiphenyldichloroethane (o,p-DDD), delta-Hexachlorocyclohexane (delta-HCH)"
15/12/2022 0:30,km,s_045,"p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), Hexachlorobenzene"
15/12/2022 1:00,km,s_046,"Dichlorodiphenyltrichloroethane (DDT), Aldrin, Dieldrin, Lindane, Heptachlor, Chlordane, Toxaphene"
15/12/2022 1:21,km,s_047,Pentachlorophenol
16/12/2022 0:22,km,s_048,Pentachlorophenol
16/12/2022 0:48,km,s_049,Dieldrin
16/12/2022 1:13,km,s_050,beta-Hexachlorocyclohexane (beta-HCH)
16/12/2022 1:37,km,s_051,chlorophenol
16/12/2022 3:10,km,s_052,"alpha-Hexachlorocyclohexane (alpha-HCH), beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE), p,p-Dichlorodiphenyldichloroethane (p,p-DDD), Aldrin, Dieldrin, Endosulfan I, Endosulfan II, Dichlorodiphenyldichloroethane (DDD), Lindane"
16/12/2022 3:36,km,s_053,"beta-Hexachlorocyclohexane (beta-HCH), gamma-Hexachlorocyclohexane (gamma-HCH), p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), o,p-Dichlorodiphenyltrichloroethane (o,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE), Aldrin, Dieldrin, Heptachlor epoxide, beta-Benzene hexachloride (beta-BHC), cis-Chlordane, Oxychlordane, Mirex, Hexachlorobenzene, trans-Nonachlor"
16/12/2022 22:38,km,s_054,"p,p-Dichlorodiphenyltrichloroethane (p,p-DDT), p,p-Dichlorodiphenyldichloroethylene (p,p-DDE)"
16/12/2022 23:19,km,s_055,"Hexachlorocyclohexane (HCH), Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE), Hexachlorobenzene"
17/12/2022 0:06,km,s_056,"Hexachlorocyclohexane (HCH), Dichlorodiphenyltrichloroethane (DDT), Dichlorodiphenyldichloroethylene (DDE), Aldrin, Heptachlor epoxide, Oxychlordane, Mirex, Hexachlorobenzene, trans-Nonachlor, general organochlorine"
17/12/2022 0:27,km,s_057,Dichlorodiphenyltrichloroethane (DDT)
17/12/2022 0:47,km,s_058,no chemical classification
17/12/2022 0:55,km,s_059,no chemical classification
19/12/2022 23:59,km,s_060,no chemical classification
20/12/2022 0:19,km,s_061,no chemical classification
20/12/2022 0:52,km,s_062,no chemical classification
20/12/2022 1:18,km,s_063,no chemical classification
20/12/2022 1:32,km,s_064,no chemical classification
